text,date,newspaper,likes,retweets,lang,period
secretary state mike pompeo multiple trip kansas stir rumor weigh senate bid succeed republican sen pat roberts retire,2019-12,wsj,46,14,en,precovid
nobel peace prize laureate hope celebrate ethiopia generation need provide security reform ethnic federalism write matthew taylor king,2019-12,wsj,53,20,en,precovid
york official ramp security synagogue jewish neighborhood follow recent antisemitic attack include stabbing injure people,2019-12,wsj,133,50,en,precovid
airport few delay short line good food examine airport rank succeed fail,2019-12,wsj,33,13,en,precovid
change youtube response federal privacy clampdown hit creator wallet,2019-12,wsj,25,13,en,precovid
authority try determine motive shooting attack texas church leave people dead include suspect gunman,2019-12,wsj,21,7,en,precovid
disappear wsj investigation reveal broad scope cloud hopper largestever corporate espionage effort,2019-12,wsj,52,31,en,precovid
stick fork possum drop cultural flashpoint rapidly urbanize,2019-12,wsj,21,5,en,precovid
major misfire keep hollywood achieve great expectation box office disney set standard dominance,2019-12,wsj,37,8,en,precovid
good company make household good consumer use explain unlikely,2019-12,wsj,26,14,en,precovid
nissan chairman carlos ghosn flee house arrest japan lebanon accord person familiar matter,2019-12,wsj,419,385,en,precovid
tip pay debt high interest rate low,2019-12,wsj,40,19,en,precovid
online lending fill void leave bank critic warn sparse regulation,2019-12,wsj,29,17,en,precovid
sec propose change auditor independence rule relax regulation audit firm,2019-12,wsj,56,30,en,precovid
want help pay grandchild college tuition explain able use lifeinsurance policy,2019-12,wsj,12,3,en,precovid
islamic state experiment collapse thousand child remain trap syrian camp victim geopolitic hostage fortune parent,2019-12,wsj,51,20,en,precovid
bernie sanders good health able assume duty presidency elect doctor letter release campaign,2019-12,wsj,126,32,en,precovid
boy scouts hire energy executive chief executive organization struggle attract generation youth navigate wave sexabuse lawsuit,2019-12,wsj,40,10,en,precovid
stock poise good annual performance drive big tech company lead decadelong bull market,2019-12,wsj,44,21,en,precovid
man accuse stab attack leave people wound hanukkah celebration york handwritten home include page express antisemitic sentiment mention hitler official,2019-12,wsj,63,27,en,precovid
stock fall monday drive loss dominant tech sector,2019-12,wsj,41,16,en,precovid
lawmaker demand information guideline military use launch offensive operation cyberspace white house keep cyber directive largely wrap,2019-12,wsj,47,24,en,precovid
jared silicon valley banker line starbucks fleece vest take business world,2019-12,wsj,74,14,en,precovid
wsj investigation find cloud hopper hack big previously know involve dozen cloud company,2019-12,wsj,74,44,en,precovid
parent charge boomerang child rent expert mistake,2019-12,wsj,71,23,en,precovid
cia prepare daily brief president redtailed hawk hover outside window cia headquarter,2019-12,wsj,156,36,en,precovid
democrats will realize dream impeachment process watergatelike frenzy vote public write,2019-12,wsj,41,11,en,precovid
author candace bushnell huffington cofounder arianna huffington contemplate willpower achieve success,2019-12,wsj,29,12,en,precovid
jonna mendez serve undercover cia craft wig prosthetic nose false tooth mask peel like tom cruise mission impossible,2019-12,wsj,250,74,en,precovid
fanny pack crocs boxer pocket peculiar clothing item,2019-12,wsj,34,7,en,precovid
ecigarette maker juul try snuff habit early use product headquarter,2019-12,wsj,44,16,en,precovid
netflix original movie showsle adam sandler jennifer aniston comedy murder mysterywere watch content release streaming service,2019-12,wsj,232,50,en,precovid
meet bojangles'chickeneate cargopantsweare silicon valleyeschewing fortnite billionaire,2019-12,wsj,62,17,en,precovid
democratic presidential candidate try embrace iowa tradition kindness alienate rival supporter,2019-12,wsj,41,10,en,precovid
tehran proxy attack long sense weakness write editorial board,2019-12,wsj,69,19,en,precovid
tesla madeinchina model 3s hit road,2019-12,wsj,75,16,en,precovid
ago phone physical keyboard app uber fancy german restaurant technology move world,2019-12,wsj,88,42,en,precovid
nfl playoff begin unusual sight patriots have play wildcard weekend,2019-12,wsj,81,9,en,precovid
fedex ups escalate war bulky item levy fee package weigh pound,2019-12,wsj,87,33,en,precovid
rough tech company plummet value wework uber prompt soulsearche investor look,2019-12,wsj,82,21,en,precovid
california sweeping rentcontrol law result similar rule pop country,2019-12,wsj,65,21,en,precovid
big big mistake amazon executive branch find harsh company management style translate,2019-12,wsj,92,23,en,precovid
appetite megamerger high fourthb record merger acquisition,2019-12,wsj,37,10,en,precovid
jewish community york celebrate night hanukkah saturday knife attack inside rabbi house,2019-12,wsj,99,33,en,precovid
killing devon wade rock sociology department columbia colleague struggle understand violent intrusion real life hall ivy league,2019-12,wsj,142,64,en,precovid
million image wsj editor view striking picture,2019-12,wsj,37,16,en,precovid
attitude change maternal exercise fourth trimester label birth,2019-12,wsj,86,18,en,precovid
pay licensing fee sell popetheme shower curtain key chain vatican want know,2019-12,wsj,33,14,en,precovid
chinese court sentence jiankui scientist create world know genetically modify baby prison,2019-12,wsj,123,88,en,precovid
americans drive few mile way live work shop change,2019-12,wsj,97,29,en,precovid
hear push green road hit car industry investor forget heavy truck big polluter,2019-12,wsj,53,18,en,precovid
north korea kim jong un annual speech emphasize need measure ensure country sovereignty,2019-12,wsj,48,21,en,precovid
early look page,2019-12,wsj,43,22,en,precovid
north carolina express lane anathema charlottearea driversand bode ill publicprivate partnership,2019-12,wsj,28,10,en,precovid
detention wang yi write defiant essay chinese communist party ideology morally incompatible christian faith,2019-12,wsj,328,282,en,precovid
hedge fund eager attract worker quantitative skill graduate earn million,2019-12,wsj,52,25,en,precovid
vanguard close roll business china masse robo adviser help investor pick mutual fund,2019-12,wsj,76,25,en,precovid
devon wade leave world enter intertwine identical twin steve fighting survive,2019-12,wsj,76,32,en,precovid
china face high consumer inflation nearly decade toxic combination stagnate growth soar price,2019-12,wsj,78,44,en,precovid
trade risk recede keep china rickety financial system rail dominate,2019-12,wsj,45,15,en,precovid
expect hong kong like million resident wrestle escalate upheaval protest reshape daily life,2019-12,wsj,87,47,en,precovid
wait public investor finally get chance money class startup fame transform industry past decade balk,2019-12,wsj,44,22,en,precovid
eighteen supreme court give green light tax online transaction small company sell thing diverse recycle yarn gold bullion struggle adjust,2019-12,wsj,51,25,en,precovid
gunman open fire texas church sunday service gunman appear shoot man armed person church return fire local medium report,2019-12,wsj,89,40,en,precovid
military authority arrest chinese citizen allegedly take photo base florida late string incident authority reflect steppedup chinese intelligencegathere operation military basis,2019-12,wsj,250,142,en,precovid
minimumwage bill carwashero legalization escooter rental stall measure albany,2019-12,wsj,25,3,en,precovid
woman ditch gym trainer popup workout beach park san juan,2019-12,wsj,52,11,en,precovid
york health official attempt eliminate childhood lead exposure decade,2019-12,wsj,46,13,en,precovid
bobblehead yes playing card vatican decide pope merchandise bless,2019-12,wsj,49,17,en,precovid
black man boy kill america devon wade,2019-12,wsj,215,91,en,precovid
median price manhattan apartment fall past quarter million quarter,2019-12,wsj,132,50,en,precovid
nfl analytic revolution nascentwhich make tantalizing analyst tackle datum look edge,2019-12,wsj,52,13,en,precovid
america undertake risky social experiment legalize especially destigmatize cannabis potential effect hard foresee control write editorial board,2019-12,wsj,104,42,en,precovid
civil right icon rep john lewis disclose advanced pancreatic cancer vow continue office fight disease,2019-12,wsj,150,38,en,precovid
moscow initiate phone president trump president putin russian leader voice gratitude counterterrorism help,2019-12,wsj,145,49,en,precovid
ranking college university put harvard university spot rank,2019-12,wsj,40,9,en,precovid
consumer treat car lot like house financial crisis pile debt driver owe car worth,2019-12,wsj,194,100,en,precovid
audience continue flock rise skywalker market longawaite climax skywalker saga begin decade ago,2019-12,wsj,47,7,en,precovid
baby boomer retire gen start fill gap employer see generation like great depression,2019-12,wsj,229,81,en,precovid
superlative spot crosscountry ski vermont stowe italy dolomite,2019-12,wsj,64,14,en,precovid
follow criticism lack transparency department homeland security open makeshift immigration tent court public,2019-12,wsj,43,12,en,precovid
lapse egyptair leave plane unsafe fly crash kill french probe allege document review wsj,2019-12,wsj,44,28,en,precovid
socialists err dangerously assume market economy conscious project write barton swaim,2019-12,wsj,115,51,en,precovid
break conduct airstrike shia militia group iraq syria target american force,2019-12,wsj,72,45,en,precovid
highranking job nfl hold man philadelphia half eagles adviser woman,2019-12,wsj,318,60,en,precovid
tech prediction start wear hearable excited iphone comingfor real time,2019-12,wsj,59,27,en,precovid
defy forecast interest rate stick near zero financial crisis economist get basic spectacularly wrong,2019-12,wsj,78,29,en,precovid
run college football tigers play national championship time tigers guarantee win,2019-12,wsj,79,21,en,precovid
york gov andrew cuomo stab attack rabbi home leave people injure hanukkah celebration domestic terrorism,2019-12,wsj,218,79,en,precovid
celebrity mom instagram influencer share photo spandexclad postpartum fitness journey body capable healing fast think,2019-12,wsj,105,24,en,precovid
congress end blowout taxpayer write editorial board,2019-12,wsj,50,20,en,precovid
investor european hedge fund wrongfoote positioning subdue equitymarket performance,2019-12,wsj,44,12,en,precovid
york coop buyer dog jump sort hoop precious approval,2019-12,wsj,33,13,en,precovid
budget goesor budget depend approach,2019-12,wsj,54,12,en,precovid
ukrainian government force prorussia separatist exchange dozen prisoner small step rapprochement side,2019-12,wsj,44,9,en,precovid
great investor modern hint warren buffett,2019-12,wsj,212,72,en,precovid
europe turn japan fate decade sluggish growth high debt,2019-12,wsj,97,44,en,precovid
staple president trump white house counsel pat cipollone develop close bond impeachment inquiry begin,2019-12,wsj,44,14,en,precovid
volunteer firefighter buzzing pager mean house fire trap elevator highway wreckageor baby box,2019-12,wsj,110,26,en,precovid
illinois waterway nation lifeblood move mph,2019-12,wsj,37,9,en,precovid
privacy activist spur california create consumerdata law want hard tech industry chip away measure,2019-12,wsj,61,26,en,precovid
suppose good uslisted ipos investor suddenly start focus profit,2019-12,wsj,64,28,en,precovid
small online business try adjust supreme court ruling wayfair case,2019-12,wsj,47,10,en,precovid
know inflation adjustment change taxis andjust importantwhat,2019-12,wsj,35,9,en,precovid
additional million worker eligible overtime pay annual salary threshold rise,2019-12,wsj,117,41,en,precovid
traveller guide eat like local neighborhood restaurant,2019-12,wsj,116,21,en,precovid
resolution actually work lowbad diet,2019-12,wsj,81,26,en,precovid
rise stream wide availability digital musicmaking tool hiphop culture collaboration force reshape music generation,2019-12,wsj,62,18,en,precovid
think hotel tokyo cost fortune suite affordable boutique hotel,2019-12,wsj,73,18,en,precovid
clemson lsu advance college football national championship game,2019-12,wsj,70,19,en,precovid
lasagna item likely fashionable york menu,2019-12,wsj,84,20,en,precovid
global miner search way handle mining waste prevent deadly spill test disappointing,2019-12,wsj,45,21,en,precovid
going get tough choose kind cocktail fit bill,2019-12,wsj,53,12,en,precovid
measle kill dozen people samoa sicken thousand september population,2019-12,wsj,62,37,en,precovid
white wine spritzer malign misunderstood actually marvelous choice holiday tippling,2019-12,wsj,80,13,en,precovid
try shake image chinese company videoshare app tiktok look global headquarters outside country,2019-12,wsj,109,79,en,precovid
interiordesign trend chic home near,2019-12,wsj,80,27,en,precovid
slow growth concern energy security prompt beijing soften stance coal undercut image leader fight climate change,2019-12,wsj,44,23,en,precovid
tom brady longevity nfl unprecedented old struggle beginning end accomplished player,2019-12,wsj,284,56,en,precovid
make small adjustment save pay big time tip stick goal,2019-12,wsj,61,11,en,precovid
seven touchdown pass joe burrow half tigers roll victory,2019-12,wsj,91,14,en,precovid
ceo bankruptcy bad wildfire california history story pgampe,2019-12,wsj,93,40,en,precovid
ice castle season frozen corner america feel harass bully like high school,2019-12,wsj,33,12,en,precovid
justin fields ohio state trevor lawrence clemson grow mile apart suburban atlanta tonight face fiesta bowl trip national championship line,2019-12,wsj,122,13,en,precovid
second anniversary passage tax cuts jobs act economic prediction vindicate write gary cohn kevin hassett,2019-12,wsj,256,68,en,precovid
detroit style chicago deep dish grandma crosscountry guide america regional pizza style,2019-12,wsj,55,14,en,precovid
genreblurre act like lil nas billie eilish lizzo rise old music category lose meaning,2019-12,wsj,110,27,en,precovid
pgampe go bankruptcy bankruptcy story california large utility lose way,2019-12,wsj,77,35,en,precovid
financial experience past decade shape way look decade share story lesson learn voicescom,2019-12,wsj,32,9,en,precovid
small plane en route collegefootball game crash parking lot office louisiana shortly takeoff kill people authority,2019-12,wsj,40,14,en,precovid
everythingyoutoknow ski guide include mountain lodge hightech gear,2019-12,wsj,57,13,en,precovid
report case kidnap rape torture violent crime migrant return mexico remain mexico program,2019-12,wsj,66,55,en,precovid
dozen electric car model need know ev revolution,2019-12,wsj,119,56,en,precovid
unitary executive imply strong presidency clear limit presidential power write,2019-12,wsj,56,18,en,precovid
plain safe suburban,2019-12,wsj,49,12,en,precovid
young americans share money milestone decade hope,2019-12,wsj,41,6,en,precovid
story fairy economics lesson nba team demand miami heat duncan robinson supply,2019-12,wsj,77,19,en,precovid
tech prediction rise hearable retreat unicorn arrival time,2019-12,wsj,51,20,en,precovid
wage typical worker rise fast rate decade fast boss,2019-12,wsj,162,70,en,precovid
discount freebie tech startup lure customer fall favor investor lose patience failure turn profit,2019-12,wsj,24,8,en,precovid
homeowner pay high rate refinance home tap home equity tradeoff make sense,2019-12,wsj,31,15,en,precovid
culotte divisive woman pant existence,2019-12,wsj,58,7,en,precovid
lorenzo ortíz baptist pastor help protect visaseeking migrant gang violence mexico get bad,2019-12,wsj,42,26,en,precovid
crimson tide miss playoff time lsu ohio state clemson oklahoma shape nick saban dominance,2019-12,wsj,50,10,en,precovid
joe biden push suggestion testify president trump impeachment trial process trump conduct,2019-12,wsj,82,25,en,precovid
california pgampe safely light deadly fire expert offer recommendation,2019-12,wsj,39,15,en,precovid
week listless trading gold price advance past session hit high level,2019-12,wsj,43,15,en,precovid
worker qualify overtime frustrate will big paycheck,2019-12,wsj,44,23,en,precovid
mile suburban atlanta hometown qb justin fields trevor lawrence coincidence product georgia college football playoff,2019-12,wsj,51,10,en,precovid
germany center destroy world war ii reconstruct bring dark history,2019-12,wsj,86,29,en,precovid
single europe complex expert guide,2019-12,wsj,101,22,en,precovid
eat drink lasagna lot lasagna,2019-12,wsj,101,24,en,precovid
nation large protestant denomination grapple sexualabuse trouble write,2019-12,wsj,46,16,en,precovid
start initiate closingargument phase democratic primary iowa caucus away,2019-12,wsj,37,13,en,precovid
