text,date,newspaper,likes,retweets,lang,period
message discord lie excruciating detail racist violent ideology drive young man stand accuse massacre grocery store buffalo,2022-05,nytimes,238,69,en,war
nia brown cashier tops friendly market east buffalo return work have baby help customer selfcheckout lane saturday gunman open fire,2022-05,nytimes,193,67,en,war
breaking ukraine end combat mission mariupol fighter evacuate signal battle steel plant,2022-05,nytimes,797,238,en,war
board montpelier president james madison virginia estate agree monday accept people governing board member recommend group descendant enslaved people work,2022-05,nytimes,300,58,en,war
eclipse watcher gaze earth shadow fall moon cause appear copperre phenomenon blood moon look like mexico york,2022-05,nytimes,298,80,en,war
strike deal twitter low price question elon musk tech conference accord attend event musk create confusion twitter deal close,2022-05,nytimes,258,75,en,war
mass shooting buffalo grocery store gunman boulder colorado open fire king soopers grocery store kill august gunman target el paso walmart killing,2022-05,nytimes,103,44,en,war
official monday strongly recommend yorkers wear medicalgrade mask office grocery store public indoor setting stop short mandate approach high alert level covid,2022-05,nytimes,517,298,en,war
break fda reach agreement abbott laboratories reopen company baby formula plant help ease nationwide shortage,2022-05,nytimes,277,94,en,war
know defamation trial johnny depp amber heard enter final week,2022-05,nytimes,339,54,en,war
las vegas man authority open fire taiwanese congregation southern california church sunday motivate hatred orange county sheriff monday person kill injure,2022-05,nytimes,367,162,en,war
maybe time celebrate ukrainian food feel like chance preserve itfor ukrainian american home cook recording share dish grow eat act resistance,2022-05,nytimes,302,43,en,war
rise interest rate slow housing market tip economy recession real estate researcher discussion economy listen conversation,2022-05,nytimes,81,25,en,war
expect forgive forget garnell whitfield fire commissioner lose mother ruth whitfield saturday mass shooting buffalo,2022-05,nytimes,6565,2456,en,war
baby risk sudden infant death syndrome low level enzyme blood scientist australia find study pave way newborn screening intervention result corroborate research,2022-05,nytimes,438,121,en,war
amid noise teem times square station nick cave mosaic soundsuit feel alive silence art museum john vincler write,2022-05,nytimes,86,15,en,war
fda expect early tuesday authorize booster shot pfizerbiontech vaccine child accord people familiar plan child young americans eligible additional shot,2022-05,nytimes,298,110,en,war
