text,date,newspaper,likes,retweets,lang,period
help résumé read human machinefriendly right keyword,2022-05,wsj,35,15,en,war
gunman accuse kill person wound inside southern california church upset relation china taiwan law enforcement official,2022-05,wsj,75,29,en,war
america need house write suzanne clark brian deese shortage cause combination zoning financing rule supplychain constraint,2022-05,wsj,57,18,en,war
break fda allow baby formula overseas import relax rule ease supply shortage,2022-05,wsj,129,40,en,war
microsoft ceo promise boost employee compensation amid low unemployment high inflation,2022-05,wsj,63,9,en,war
mcdonald quit russia sell business end decade country invasion ukraine,2022-05,wsj,320,68,en,war
listen today episode podcast wei explain sputtering chinese economy present opening president xi jingping second command push xi socialist policy,2022-05,wsj,31,15,en,war
electricvehicle startup rivian key supplier seat warn pricing dispute impact production electric van order amazon,2022-05,wsj,46,8,en,war
price stablecoin terrausd sharply monday cryptocurrency creator announce plan attempt rescue project,2022-05,wsj,51,16,en,war
jetblue plan launch hostile takeover attempt discount carrier spirit airlines spirit reject jetblue billion offer favor exist deal frontier airlines,2022-05,wsj,43,11,en,war
abbott resume production infant formula michigan plant agreement food drug administration,2022-05,wsj,69,17,en,war
twitter ceo parag agrawal series tweet defend company ability fight spam account elon musk respond multiple tweet include solely,2022-05,wsj,195,34,en,war
york official recommend resident wear mask indoor public space amid climb covid case effort curb spread virus,2022-05,wsj,76,36,en,war
malibu calif mansion own selfstorage billionaire tammy hughes gustavson market million,2022-05,wsj,53,10,en,war
turkey lay demand finland sweden plan nato entry,2022-05,wsj,128,50,en,war
un secretarygeneral antónio guterres pursue highstake deal russia turkey nation open ukrainian food export world market stave potential global food shortage accord diplomat familiar effort,2022-05,wsj,175,84,en,war
crypto stock head will survive drop write market anticipate psychology infectious selling wait puke,2022-05,wsj,45,9,en,war
pennsylvania senate primary jolt democratic lt gov john fetterman stroke gop contender kathy barnette recent surge poll,2022-05,wsj,53,8,en,war
tiktok short addictive video platform explode popularity ask,2022-05,wsj,37,8,en,war
ryanair ceo airline expansion plan impact boeing failure deliver aircraft time,2022-05,wsj,47,11,en,war
courtdrawn plan york congressional district increase number competitive seat erode significant democratic advantage map strike early,2022-05,wsj,66,18,en,war
