text,date,newspaper,likes,retweets,lang,period
"American airstrikes in Iraq over the weekend have made the U.S. the focus of public hostility there, reducing the heat on Iran and its proxies https://t.co/eUsbmfLnMf",2019-12-30 23:50:08+00:00,nytimes,117,60,en,precovid
"“This town is a slow-motion Chernobyl."" A New York Times analysis of 15 years of efforts to clean up Mexico’s most polluted waterway found that attempts floundered in the face of legal loopholes, deficient funding and a lack of political will. https://t.co/Ycqcibnury",2019-12-30 23:40:05+00:00,nytimes,334,168,en,precovid
"These oats, filled with nuttiness and depth, are perfect to bake up for a special occasion breakfast or brunch
https://t.co/wn7zxUddmg",2019-12-30 23:20:05+00:00,nytimes,249,34,en,precovid
"“I want to deal with characters who make you laugh, because they have something amusing about them in a wonderful, connected way. They might be overlooked easily, but they have something to say,"" Lily Tomlin told David Marchese in @NYTMag. https://t.co/OXGe2PI73a",2019-12-30 23:00:06+00:00,nytimes,240,43,en,precovid
"“The streaming business has a problem on the horizon, and so does the music business. That doesn’t mean they can’t figure it out,” Jimmy Iovine told @sisario. https://t.co/4smd6Bgv2N",2019-12-30 22:40:03+00:00,nytimes,148,58,en,precovid
"“If theater weren’t already mocked enough for its hysteria and jazz hands, it now seems to be pop culture’s punching bag,” writes Jesse Green, our co-chief theater critic. https://t.co/noNeaki30Q",2019-12-30 22:20:04+00:00,nytimes,108,20,en,precovid
"Carlos Ghosn, the former Nissan chairman facing corruption charges in Japan, abruptly left the country. It was unclear if he had reached a deal. https://t.co/Rog66eg4LW",2019-12-30 22:02:07+00:00,nytimes,183,80,en,precovid
"A high-ranking official in New York City’s Department of Education was arrested on Sunday in Wisconsin and accused of using a computer to facilitate a child sex crime. He was fired after his arrest, officials said. https://t.co/OpEEwXZ7iX",2019-12-30 21:50:05+00:00,nytimes,126,57,en,precovid
"""It was my responsibility to figure things out, not my child’s. She already had done all she could to change her life, finding hope and determination in our misfortune."" https://t.co/Idf1uImNqg",2019-12-30 21:40:07+00:00,nytimes,204,29,en,precovid
"Dozens of other political prisoners in Nicaragua were freed Monday after the U.S. government strengthened sanctions against the authoritarian government of Daniel Ortega, a regime that has been condemned around the world for its crackdown on dissent
https://t.co/RsoSnCBsob",2019-12-30 21:30:11+00:00,nytimes,170,44,en,precovid
"Andy Warhol once built his collections from objects found at the Annex Antiques Fair and Flea Market, “but it is all over.”

After 43 years, it has lost the lease on its last patch of asphalt in a now-gentrified neighborhood.
https://t.co/yopHcoKJ5a",2019-12-30 21:20:05+00:00,nytimes,175,68,en,precovid
Bernie Sanders has released 3 letters from doctors — including the attending physician of Congress — declaring him in “good health” nearly 3 months after he had a heart attack while campaigning. A cardiologist described his recovery as “uneventful.” https://t.co/fqIrcFv1rd,2019-12-30 21:10:03+00:00,nytimes,567,80,en,precovid
"While you might think you’re not eating much sugar, chances are you’re eating a lot more than you realize. Our 7-day sugar challenge will show you strategies to cut back. https://t.co/elnaY4HMTz",2019-12-30 21:00:21+00:00,nytimes,392,108,en,precovid
"A voter in New Hampshire asked Joe Biden if he’d consider a Republican as his running mate should he win the Democratic presidential nomination. “The answer is I would,” Biden replied, “but I can’t think of one now.” https://t.co/fjMXfMfVuP",2019-12-30 20:40:06+00:00,nytimes,326,53,en,precovid
Newly unearthed documents show the FDA failed to use its policing powers to curb improper prescribing of OxyContin and other long-acting opioids https://t.co/ZWFDz3rmXM,2019-12-30 20:30:09+00:00,nytimes,207,104,en,precovid
"Neil Innes, the British humorist and musician who was an honorary member of the Monty Python comedy troupe and was known for his own projects, including the Beatles parody band the Rutles, died on Sunday. He was 75. https://t.co/bZjM6oE2S3",2019-12-30 20:20:03+00:00,nytimes,420,132,en,precovid
"Arame Wade makes deliveries for Amazon and other e-commerce sites in West Africa. But for her, it all starts 3,800 miles away in Manhattan.

Here’s how informal networks of couriers are providing a solution to the challenges of online shopping. https://t.co/3P5U2a2Sbu",2019-12-30 20:00:14+00:00,nytimes,100,25,en,precovid
"In 2019, Democrats had the largest and most diverse presidential field in modern American political history — and New York Times photographers were there to capture it.

Here’s what they saw on the campaign trail with 5 candidates who defined the race. https://t.co/2ig2RykYsv https://t.co/xLOBk6ytCO",2019-12-30 19:40:04+00:00,nytimes,156,32,en,precovid
"“The tech industry’s very public shortfalls make celebrating its quieter successes even more important,” writes @KevinRoose https://t.co/QMKOYQoR28",2019-12-30 19:20:08+00:00,nytimes,74,18,en,precovid
"""Little Women"" is a NYT Critic's Pick. @AOScott called it ""an absolute gift."" https://t.co/1Yg5gBVHQK",2019-12-30 19:00:25+00:00,nytimes,400,60,en,precovid
"As President Trump takes credit for the economy’s resilience, Democrats on the campaign trail say that for many Americans, wages aren’t rising fast enough to offset the increasing costs of living, including for health care and education https://t.co/tHM8emECbG",2019-12-30 18:40:05+00:00,nytimes,331,78,en,precovid
"Opioid deaths were about 85% higher among people of prime working age — 16 to 65 — in parts of the U.S. where automotive factories had closed 5 years earlier, compared with counties where such factories remained open, a new study has found https://t.co/6E4MFoDKFy",2019-12-30 18:20:03+00:00,nytimes,292,174,en,precovid
"“The absence of history ensures that ‘1917’ remains a palatable war simulation,” @ManohlaDargis writes in her review of the visually extravagant drama about World War I directed by Sam Mendes. https://t.co/bD5AoJgP9F",2019-12-30 18:00:22+00:00,nytimes,129,28,en,precovid
"A satellite’s view of what’s been built, destroyed and remade across the U.S. in the last decade https://t.co/jki9vU1ROn",2019-12-30 17:40:06+00:00,nytimes,444,172,en,precovid
