text,date,newspaper,likes,retweets,lang,period
"Secretary of State Mike Pompeo's multiple trips to Kansas in 2019 stirred rumors that he might be weighing a Senate bid to succeed Republican Sen. Pat Roberts, who is retiring https://t.co/onxxXXS0xc",2019-12-30 23:45:07+00:00,wsj,46,14,en,precovid
"From @WSJopinion: If the Nobel Peace Prize laureate hopes to be celebrated in Ethiopia for generations, he needs to provide security and reform ethnic federalism, writes Matthew Taylor King https://t.co/c8hwZJWf3B",2019-12-30 23:30:17+00:00,wsj,53,20,en,precovid
"New York City officials are ramping up security around synagogues and in Jewish neighborhoods following several recent anti-Semitic attacks, including a stabbing that injured five people https://t.co/5TekaeatME",2019-12-30 23:15:07+00:00,wsj,133,50,en,precovid
"Which airports have the fewest delays, the shortest lines and the best food? We examined 40 U.S. airports and ranked where they succeed and fail https://t.co/ZXTamaD682",2019-12-30 23:00:18+00:00,wsj,33,13,en,precovid
Changes by YouTube in response to a federal privacy clampdown could hit creators’ wallets https://t.co/egsSM1wZlO,2019-12-30 22:45:03+00:00,wsj,25,13,en,precovid
Authorities said they are still trying to determine the motive behind a shooting attack on a Texas church which left three people dead including the suspected gunman https://t.co/DxhjGtTRC8,2019-12-30 22:30:06+00:00,wsj,21,7,en,precovid
"“They haven’t disappeared.” A WSJ investigation reveals the broad scope of Cloud Hopper, one of the largest-ever corporate espionage efforts. https://t.co/WEtPHh1XNx",2019-12-30 22:15:03+00:00,wsj,52,31,en,precovid
“It’s done. They can stick a fork in it.” The possum drop had become a cultural flashpoint in a rapidly urbanizing state. https://t.co/P8QgVMm6TL,2019-12-30 22:00:13+00:00,wsj,21,5,en,precovid
"A few major misfires kept Hollywood from achieving great expectations at the 2019 box office, but Disney set a new standard for dominance https://t.co/vcm7uzSmWt",2019-12-30 21:45:04+00:00,wsj,37,8,en,precovid
2019 was a good year for companies making household goods consumers use every day. But @AaronBack explains why it is unlikely to last in 2020. #WSJWhatsNow https://t.co/Gxeai6Jkfh https://t.co/5R39WlAodE,2019-12-30 21:34:21+00:00,wsj,26,14,en,precovid
"Former Nissan Chairman Carlos Ghosn has fled house arrest in Japan and is in Lebanon, according to a person familiar with the matter https://t.co/Lyir4VAIxH",2019-12-30 21:29:15+00:00,wsj,419,385,en,precovid
One tip: Pay down debt from the highest interest rates to the lowest https://t.co/VJFBis1iNZ,2019-12-30 21:15:04+00:00,wsj,40,19,en,precovid
"Online lending has filled a void left by banks, but critics warn of sparse regulation https://t.co/tCyNhe6sWz",2019-12-30 21:00:08+00:00,wsj,29,17,en,precovid
The SEC proposed changes to auditor independence rules that would relax regulation of audit firms https://t.co/mqZPTra0TF,2019-12-30 20:45:05+00:00,wsj,56,30,en,precovid
Want to help pay for a grandchild’s college tuition? @CherylMunk explains how you might be able to use a life-insurance policy. #WSJWhatsNow https://t.co/t5aPdHw9FF https://t.co/jwhZZGEnA8,2019-12-30 20:30:00+00:00,wsj,12,3,en,precovid
"Nine months since Islamic State’s experiment collapsed, thousands of children remain trapped in several Syrian camps, victims of geopolitics and hostage to the fortunes of their parents https://t.co/eryAzHgRcI",2019-12-30 20:15:06+00:00,wsj,51,20,en,precovid
"Bernie Sanders is in good health and would be able to assume the duties of the presidency if he is elected in 2020, three of his doctors said in letters released by his campaign https://t.co/aOAqiULIIx",2019-12-30 20:00:20+00:00,wsj,126,32,en,precovid
"The Boy Scouts hired a former energy executive as chief executive, as the organization struggles to attract a new generation of youth and navigate a wave of sex-abuse lawsuits https://t.co/G6wtnk92Kg",2019-12-30 19:45:05+00:00,wsj,40,10,en,precovid
"U.S. stocks are poised for their best annual performance in six years, driven by the big tech companies that have led the decadelong bull market https://t.co/4yBa693hlO https://t.co/Fu5TEkGJMz",2019-12-30 19:30:10+00:00,wsj,44,21,en,precovid
"The man accused of a stabbing attack that left five people wounded during a Hanukkah celebration in New York had handwritten journals in his home that included several pages expressing anti-Semitic sentiments and mentions of Hitler, officials said https://t.co/qcp8lCDgv9",2019-12-30 19:15:05+00:00,wsj,63,27,en,precovid
"#WSJWhatsNow: U.S. stocks fell Monday, driven by losses in the dominant tech sector https://t.co/ypElMRaD8G",2019-12-30 19:05:00+00:00,wsj,41,16,en,precovid
Lawmakers are demanding more information about the guidelines the military uses to launch offensive operations in cyberspace. The White House has kept the cyber directive largely under wraps. https://t.co/g5IR3DheXd,2019-12-30 18:45:07+00:00,wsj,47,24,en,precovid
"From Jared on ""Silicon Valley"" to the bankers in line at Starbucks, the fleece vest has taken over the business world https://t.co/nTvCQ64DLk",2019-12-30 18:30:07+00:00,wsj,74,14,en,precovid
"A WSJ investigation found that the Cloud Hopper hack was much bigger than previously known, involving at least a dozen cloud companies https://t.co/nqcwmGE3Q4",2019-12-30 18:15:09+00:00,wsj,74,44,en,precovid
"Many parents don’t charge their boomerang children rent, but some experts say that’s a mistake https://t.co/UHk8qmO5rb",2019-12-30 18:00:27+00:00,wsj,71,23,en,precovid
The CIA prepares a daily brief for the president that few get to see. Among them: a red-tailed hawk that hovers outside the windows of CIA headquarters. https://t.co/sLHbwW1jCo,2019-12-30 17:45:06+00:00,wsj,156,36,en,precovid
