text,date,newspaper,likes,retweets,lang,period
Messages posted on Discord lay out in excruciating detail the racist and violent ideology that drove the young man who now stands accused of the massacre at a grocery store in Buffalo. https://t.co/vdeQKQ5ZG4,2022-05-16 23:40:04+00:00,nytimes,238,69,en,war
"Nia Brown, a cashier at the Tops Friendly Market in East Buffalo, had just returned back to work after having a baby. She was helping customers in the self-checkout lanes on Saturday when a gunman opened fire. https://t.co/b1CMeqU8Nm",2022-05-16 23:20:03+00:00,nytimes,193,67,en,war
"Breaking News: Ukraine ended its “combat mission” in Mariupol and said fighters were being evacuated, signaling that the battle at a steel plant was over. https://t.co/XWTQLrzzLG",2022-05-16 22:59:15+00:00,nytimes,797,238,en,war
"The board of Montpelier, President James Madison’s Virginia estate, agreed on Monday to accept 11 people to its governing board. The new members were recommended by a group of descendants of enslaved people who worked there. https://t.co/dJogYp34Pw",2022-05-16 22:40:06+00:00,nytimes,300,58,en,war
"Eclipse watchers gazed up as the Earth’s shadow fell over the moon, causing it to appear copper-red in a phenomenon some call a blood moon. Here’s what it looked like from Mexico City and New York City. https://t.co/OyjXsaKsuw https://t.co/0atB2VVJz9",2022-05-16 22:20:03+00:00,nytimes,298,80,en,war
"Striking a deal for Twitter at a lower price was ""not at the out of the question,"" Elon Musk said at a tech conference, according to someone who attended the event. Musk has been creating confusion around whether the Twitter deal will close. https://t.co/WV5hVGBV2s",2022-05-16 22:10:04+00:00,nytimes,258,75,en,war
"The mass shooting in Buffalo is the third at a grocery store in three years. It comes a year after a gunman in Boulder, Colorado, opened fire at a King Soopers grocery store, killing 10. In August 2019, a gunman targeted an El Paso Walmart, killing 20. https://t.co/u6xLPkb8yC",2022-05-16 22:00:10+00:00,nytimes,103,44,en,war
"Officials on Monday strongly recommended that New Yorkers wear medical-grade masks in offices, grocery stores and other public indoor settings, stopping short of a mandate as the city approaches a ""high"" alert level for Covid-19. https://t.co/3GOBBeQA4r",2022-05-16 21:50:04+00:00,nytimes,517,298,en,war
Breaking News: The FDA reached an agreement with Abbott Laboratories that could reopen the company’s baby formula plant to help ease a nationwide shortage. https://t.co/79Kb2dnzMR,2022-05-16 21:40:18+00:00,nytimes,277,94,en,war
"Here's what to know about the defamation trial between Johnny Depp and Amber Heard, which is now entering its final two weeks. https://t.co/MkuMXdDCBg",2022-05-16 21:30:05+00:00,nytimes,339,54,en,war
"A Las Vegas man who the authorities say opened fire on a Taiwanese congregation at a Southern California church on Sunday was motivated by hatred, the Orange County sheriff said on Monday. One person was killed and five others were injured. https://t.co/FDeIStjSyk",2022-05-16 21:20:03+00:00,nytimes,367,162,en,war
"“Maybe now is not the time to celebrate Ukrainian food. But this feels like the only chance we have to preserve it.”

For one Ukrainian American home cook, recording and sharing the dishes she grew up eating is an act of resistance. https://t.co/GoAZIy5U7O",2022-05-16 21:10:02+00:00,nytimes,302,43,en,war
"Rising interest rates have slowed the housing market and may well tip the economy into a recession, the real estate researcher @RickPalaciosJr said during a discussion about the economy with @bencasselman and @WendyEdelberg. Listen to the conversation: https://t.co/lJExduOEjD https://t.co/ezCS4Uzxc4",2022-05-16 21:00:04+00:00,nytimes,81,25,en,war
"""You expect us to keep doing this over and over again, forgive and forget,"" said Garnell Whitfield, a former fire commissioner who lost his mother, Ruth Whitfield, in Saturday's mass shooting in Buffalo. https://t.co/tv6JKjSXuT https://t.co/6Ev0vaUlzq",2022-05-16 20:55:05+00:00,nytimes,6565,2456,en,war
"Some babies at risk of sudden infant death syndrome have low levels of an enzyme in their blood, scientists in Australia found. The new study could pave the way for newborn screening and interventions if the results are corroborated by further research. https://t.co/KIucIYEtKM",2022-05-16 20:40:07+00:00,nytimes,438,121,en,war
"Amid the noise and teem of the Times Square station, Nick Cave’s mosaic Soundsuits feel more alive than they often do in the silence of art museums, John Vincler writes. https://t.co/199pLDFYVp",2022-05-16 20:30:14+00:00,nytimes,86,15,en,war
"The FDA is expected as early as Tuesday to authorize a booster shot of the Pfizer-BioNTech vaccine for children 5 to 11, according to people familiar with the plan. That would make those children the youngest Americans eligible for the additional shot. https://t.co/JEOJQZlh5v",2022-05-16 20:20:05+00:00,nytimes,298,110,en,war
"New York's so-called red flag law has been invoked 589 times to take guns away from people since it took effect in 2019, according to state officials. The measure lets judges bar people who pose a danger to themselves or others from possessing a firearm. https://t.co/JNu82vzxfb",2022-05-16 20:10:09+00:00,nytimes,239,55,en,war
"President Emmanuel Macron appointed Élisabeth Borne, the minister of labor, as France's new prime minister on Monday. The move was meant to appeal to left-leaning voters whose support will help determine control over Parliament.  https://t.co/DK0asEVJuE",2022-05-16 20:00:24+00:00,nytimes,181,35,en,war
"New York courts unveiled districts that will damage Democrats’ efforts to gain seats in the U.S. House, creating new toss-up midterm races. The court-appointed special master said that his map would produce eight competitive districts. https://t.co/984yb1c0a7",2022-05-16 19:50:01+00:00,nytimes,119,34,en,war
"It wasn’t only at a supermarket in Buffalo. Across the U.S., gunfire erupted over the weekend at a church banquet in Laguna Woods, California; near a nightlife district in Milwaukee, Wisconsin; at a flea market in Houston; and at Millennium Park in Chicago.https://t.co/0DTiRZguqx",2022-05-16 19:40:05+00:00,nytimes,221,94,en,war
"A 68-year-old Las Vegas man was charged with murder on Monday, after authorities said he opened fire in a Southern California church, killing one person and critically wounding four others before congregants overpowered and hogtied him. https://t.co/4oovR7J7yD https://t.co/pt5Ap8ur2N",2022-05-16 19:30:04+00:00,nytimes,168,57,en,war
